Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product,Clean Name,Storage,Battery,Screen Size,Color,More Details
Oking,KSh 690,KSh 839,,,4.4 out of 5(132),Phones,"Oking OK310 1.7"" Wireless FM",N/A,1000mAh,"1.7""",Black,"Bright Torch, Tri SIM, 2G -   (1YR WRTY)"
VILLAON,KSh 675,KSh 852,,,3.9 out of 5(591),Phones,"VILLAON V101 1.77"" Kabambe",N/A,1000mAh,"1.77""",N/A,"Wireless FM, Camera, Bright Touch, Facebook,  (Dual Sim)  (1YR WRTY)"
XIAOMI,"KSh 12,399","KSh 25,000",,,3.8 out of 5(158),Phones,XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM+GIFTS WATCH,N/A,N/A,N/A,N/A,"I12 EAR BUDS,COVER,3D."
Infinix,"KSh 9,297","KSh 13,999",,,4 out of 5(58),Phones,"Infinix Smart 8 6.6"" HD",2GB RAM,5000mAh,"6.6""",N/A,"+ 64GB , Android 13 (Dual Sim) , White"
Samsung,"KSh 10,199","KSh 12,516",,,4.3 out of 5(116),Phones,Samsung A05,4GB RAM,5000mAh,"6.7""",Black,"+ 64GB,   (1YR WRTY)"
XIAOMI,"KSh 11,299","KSh 19,999",,,4.1 out of 5(176),Phones,XIAOMI Redmi 14C,4GB RAM,5160mAh,"6.88""",Black,(+128GB Storage) (Dual Sim)  - Midnight
Samsung,"KSh 9,399","KSh 14,999",,,4 out of 5(243),Phones,Samsung Galaxy A05,4GB RAM + 64GB ROM,5000mAh,N/A,Black,"6.7''  (Dual Sim) 50MP Camera,  -"
XIAOMI,"KSh 11,099","KSh 14,696",,,4.3 out of 5(232),Phones,XIAOMI Redmi 14C,4GB RAM,5160mAh,"6.88""",Black,(+128GB Storage) (Dual Sim)  - Midnight  (2YRs WRTY)
Poco,"KSh 12,999","KSh 16,819",,,4.3 out of 5(119),Phones,Poco C75,6GB RAM,5160mAh,"6.88""",Black,"128GB +  (Dual SIM),  (2YRs WRTY)"
XIAOMI,"KSh 10,499","KSh 12,000",,,4.2 out of 5(176),Phones,XIAOMI Redmi A3x,4GB RAM,5000mAh,"6.71""",Black,"128GB +  (Dual SIM),  (2YRS WRTY)"
XIAOMI,"KSh 14,297","KSh 19,999",,,4.2 out of 5(77),Phones,XIAOMI Redmi 14C,8GB RAM,5160mAh,"6.88""",Black,(256GB Storage+) (Dual Sim)  -Midnight
XIAOMI,"KSh 15,099","KSh 30,000",,,4.1 out of 5(52),Phones,XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  SW BD PB,8GB RAM + 256GB ROM,N/A,N/A,N/A,
XIAOMI,"KSh 15,899","KSh 17,000",,,4.5 out of 5(6),Phones,XIAOMI Redmi 13,8GB RAM,5030mAh,"6.79""",Black,"+ 256GB (Dual SIM) 4G,  -  (2YRS WRTY)"
Tecno,"KSh 18,521","KSh 22,999",,,4.5 out of 5(165),Phones,"Tecno Pova 6 Neo 6.78""FHD+",8GB RAM,7000mAh,"6.78""",Black,"256GB+, 50MP, -33W Super Charge- Speed  (1YR WRTY)"
XIAOMI,"KSh 11,799","KSh 15,000",,,4.2 out of 5(164),Phones,XIAOMI Redmi 14C,4GB RAM,5160mAh,"6.88""",Green,(+128GB Storage) (Dual Sim)  - Sage  (2YRS WRTY)
Infinix,"KSh 16,399","KSh 20,387",,,4.1 out of 5(16),Phones,Infinix Hot 40 Pro,N/A,N/A,"6.78""",Blue,"256GB + 8GB, 5000 mAh, 4G, Dual SIM - Palm"
Itel,"KSh 8,599","KSh 11,354",,,4.2 out of 5(37),Phones,Itel A70,3GB RAM,5000mAh,"6.6""",Black,"+ 128GB, 4G, (Dual SIM)  - Starlish black (1YR WRTY)"
Itel,"KSh 8,599","KSh 15,650",,,4.8 out of 5(19),Phones,Itel A70,3GB RAM,5000mAh,"6.6""",Blue,"+ 128GB, 4G, (Dual SIM)  - Azure blue"
Samsung,"KSh 23,499","KSh 35,999",,,4 out of 5(15),Phones,Samsung GALAXY A16,8GB RAM,5000mAh,N/A,N/A,"6.7'' HD+,  + 256 GB ROM, DUAL SIM, 50MP,   COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU"
Freeyond,"KSh 10,899","KSh 21,196",,,4.1 out of 5(317),Phones,Freeyond M5,N/A,5000mAh,"6.52""",Black,"8GB+128GB, 50MP,4G Smartphone  Dual SIM Android Phone"
Itel,"KSh 8,199","KSh 9,000",,,,Phones,Itel A50,2GB RAM,5000mAh,N/A,Black,"6.6'', 64GB +  (Dual SIM), 4G"
Samsung,"KSh 116,000","KSh 147,000",,,5 out of 5(3),Phones,Samsung Galaxy S24 Ultra - 256 GB,N/A,N/A,N/A,Black,Titanium
Samsung,"KSh 17,027","KSh 18,000",,,4 out of 5(1),Phones,Samsung Galaxy A16,4GB RAM,5000mAh,"6.7""",Black,128GB +  (Dual SIM)
Apple,"KSh 177,000","KSh 190,000",,,5 out of 5(5),Phones,Apple iPhone 16 Pro Max (256 GB) - Desert Titanium,N/A,N/A,N/A,N/A,
