Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product,Clean Name,Storage,Battery,Screen Size,Color,More Details
Oking,690,839.0,17.76,4.4,132.0,Phones,"Oking OK310 1.7"" Wireless FM",N/A,1000mAh,"1.7""",Black,"Bright Torch, Tri SIM, 2G -   (1YR WRTY)"
VILLAON,675,852.0,20.77,3.9,591.0,Phones,"VILLAON V101 1.77"" Kabambe",N/A,1000mAh,"1.77""",N/A,"Wireless FM, Camera, Bright Touch, Facebook,  (Dual Sim)  (1YR WRTY)"
XIAOMI,12399,25000.0,50.4,3.8,158.0,Phones,XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM+GIFTS WATCH,N/A,N/A,N/A,N/A,"I12 EAR BUDS,COVER,3D."
Infinix,9297,13999.0,33.59,4.0,58.0,Phones,"Infinix Smart 8 6.6"" HD",2GB RAM,5000mAh,"6.6""",N/A,"+ 64GB , Android 13 (Dual Sim) , White"
Samsung,10199,12516.0,18.51,4.3,116.0,Phones,Samsung A05,4GB RAM,5000mAh,"6.7""",Black,"+ 64GB,   (1YR WRTY)"
XIAOMI,11299,19999.0,43.5,4.1,176.0,Phones,XIAOMI Redmi 14C,4GB RAM,5160mAh,"6.88""",Black,(+128GB Storage) (Dual Sim)  - Midnight
Samsung,9399,14999.0,37.34,4.0,243.0,Phones,Samsung Galaxy A05,4GB RAM + 64GB ROM,5000mAh,N/A,Black,"6.7''  (Dual Sim) 50MP Camera,  -"
XIAOMI,11099,14696.0,24.48,4.3,232.0,Phones,XIAOMI Redmi 14C,4GB RAM,5160mAh,"6.88""",Black,(+128GB Storage) (Dual Sim)  - Midnight  (2YRs WRTY)
Poco,12999,16819.0,22.71,4.3,119.0,Phones,Poco C75,6GB RAM,5160mAh,"6.88""",Black,"128GB +  (Dual SIM),  (2YRs WRTY)"
XIAOMI,10499,12000.0,12.51,4.2,176.0,Phones,XIAOMI Redmi A3x,4GB RAM,5000mAh,"6.71""",Black,"128GB +  (Dual SIM),  (2YRS WRTY)"
XIAOMI,14297,19999.0,28.51,4.2,77.0,Phones,XIAOMI Redmi 14C,8GB RAM,5160mAh,"6.88""",Black,(256GB Storage+) (Dual Sim)  -Midnight
XIAOMI,15099,30000.0,49.67,4.1,52.0,Phones,XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  SW BD PB,8GB RAM + 256GB ROM,N/A,N/A,N/A,
XIAOMI,15899,17000.0,6.48,4.5,6.0,Phones,XIAOMI Redmi 13,8GB RAM,5030mAh,"6.79""",Black,"+ 256GB (Dual SIM) 4G,  -  (2YRS WRTY)"
Tecno,18521,22999.0,19.47,4.5,165.0,Phones,"Tecno Pova 6 Neo 6.78""FHD+",8GB RAM,7000mAh,"6.78""",Black,"256GB+, 50MP, -33W Super Charge- Speed  (1YR WRTY)"
XIAOMI,11799,15000.0,21.34,4.2,164.0,Phones,XIAOMI Redmi 14C,4GB RAM,5160mAh,"6.88""",Green,(+128GB Storage) (Dual Sim)  - Sage  (2YRS WRTY)
Infinix,16399,20387.0,19.56,4.1,16.0,Phones,Infinix Hot 40 Pro,N/A,N/A,"6.78""",Blue,"256GB + 8GB, 5000 mAh, 4G, Dual SIM - Palm"
Itel,8599,11354.0,24.26,4.2,37.0,Phones,Itel A70,3GB RAM,5000mAh,"6.6""",Black,"+ 128GB, 4G, (Dual SIM)  - Starlish black (1YR WRTY)"
Itel,8599,15650.0,45.05,4.8,19.0,Phones,Itel A70,3GB RAM,5000mAh,"6.6""",Blue,"+ 128GB, 4G, (Dual SIM)  - Azure blue"
Samsung,23499,35999.0,34.72,4.0,15.0,Phones,Samsung GALAXY A16,8GB RAM,5000mAh,N/A,N/A,"6.7'' HD+,  + 256 GB ROM, DUAL SIM, 50MP,   COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU"
Freeyond,10899,21196.0,48.58,4.1,317.0,Phones,Freeyond M5,N/A,5000mAh,"6.52""",Black,"8GB+128GB, 50MP,4G Smartphone  Dual SIM Android Phone"
Itel,8199,9000.0,8.9,0.0,0.0,Phones,Itel A50,2GB RAM,5000mAh,N/A,Black,"6.6'', 64GB +  (Dual SIM), 4G"
Samsung,116000,147000.0,21.09,5.0,3.0,Phones,Samsung Galaxy S24 Ultra - 256 GB,N/A,N/A,N/A,Black,Titanium
