Name,Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product
"Oking OK310 1.7"" Wireless FM, Bright Torch, 1000mAh, Tri SIM, 2G - Black  (1YR WRTY)",Oking,KSh 690,KSh 839,,,4.4 out of 5(126),Phones
"VILLAON V101 1.77"" Kabambe, Wireless FM, Camera, Bright Touch, Facebook, 1000mAh (Dual Sim)  (1YR WRTY)",VILLAON,KSh 675,KSh 852,,,4 out of 5(586),Phones
"Samsung A05, 6.7"", 4GB RAM + 64GB, 5000mAh, Black  (1YR WRTY)",Samsung,"KSh 10,199","KSh 12,516",,,4.2 out of 5(115),Phones
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual Sim) 5000mAh, White",Infinix,"KSh 8,499","KSh 13,999",,,4 out of 5(56),Phones
"XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM+GIFTS WATCH,I12 EAR BUDS,COVER,3D.",XIAOMI,"KSh 12,399","KSh 25,000",,,3.9 out of 5(152),Phones
"Samsung Galaxy A05, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black, (2YRs WRTY)",Samsung,"KSh 9,199","KSh 13,187",,,4.4 out of 5(127),Phones
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black",XIAOMI,"KSh 11,698","KSh 19,999",,,4.1 out of 5(175),Phones
"Samsung Galaxy A05, 6.7'' 4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black",Samsung,"KSh 9,399","KSh 14,999",,,4 out of 5(241),Phones
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black (2YRs WRTY)",XIAOMI,"KSh 11,099","KSh 14,696",,,4.3 out of 5(227),Phones
"Poco C75, 6.88"", 128GB + 6GB RAM (Dual SIM), 5160mAh, Black (2YRs WRTY)",Poco,"KSh 12,999","KSh 16,819",,,4.3 out of 5(117),Phones
"XIAOMI Redmi A3x, 6.71"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black (2YRS WRTY)",XIAOMI,"KSh 10,499","KSh 12,000",,,4.2 out of 5(173),Phones
"XIAOMI Redmi 14C, 6.88"" (256GB Storage+8GB RAM) (Dual Sim) 5160mAh -Midnight Black",XIAOMI,"KSh 14,297","KSh 19,999",,,4.2 out of 5(77),Phones
XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  SW BD PB,XIAOMI,"KSh 15,099","KSh 30,000",,,4.1 out of 5(51),Phones
